run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__urban_small__baseline1_2p5d_astar__none,flat_scene_001,flat,urban_small,baseline1_2p5d_astar,none,0.5264075398445129,10,30,0,50,30,0,2,1,,3.9999999999999996,0.0,0.0,10,0.6160299999464769,11,10
flat_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5264075398445129,10,30,0,50,30,0,2,1,,3.9999999999999996,0.0,0.0,10,424.3592630009516,11,10
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,main,0.5264075398445129,10,30,0,50,30,0,2,1,,3.9999999999999996,0.3995361626148224,0.3995361626148225,356,15974.472719000914,11,10
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,compare,0.5264075398445129,10,30,0,50,30,0,2,1,,3.9999999999999996,0.49730655550956726,0.49730655550956737,388,17370.448858997406,11,10
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5264075398445129,10,30,0,50,30,0,2,1,,3.9999999999999996,0.3995361626148224,0.3995361626148225,10,425.63721099941176,11,10
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,compare,0.5264075398445129,10,30,0,50,30,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,43.10596399955102,0,0
