model_tag,auc_fail,recall_fail,f1_fail,mae_risk,infer_ms_per_sample,proxy_plan_success_rate,proxy_oracle_safe_rate,proxy_mean_length_ratio
pso,0.9590395759577541,0.9493087557603687,0.8530020703933747,0.07344844937324524,0.039242051111109,1.0,1.0,1.0
baseline,0.763888888888889,1.0,0.6428571428571429,0.41450339555740356,0.08472357895746092,0.0,0.0,2.0
