method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
baseline1_2p5d_astar,none,1,1.0,3.9999999999999996,0.0,0.0,10.0,0.6038809988240246
baseline2_manual_risk_weighted_astar,none,1,1.0,3.9999999999999996,0.0,0.0,10.0,481.56663500049035
baseline3_ml_risk_weighted_astar,main,1,1.0,3.9999999999999996,0.3995361626148224,0.3995361626148225,356.0,16667.690648002463
proposed_ml_risk_constrained_astar,main,1,1.0,3.9999999999999996,0.3995361626148224,0.3995361626148225,10.0,467.0603869999468
