method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
baseline1_2p5d_astar,none,81,1.0,10.13308024172097,0.0,0.0,258.25925925925924,7.552060444460814
baseline2_manual_risk_weighted_astar,none,81,0.5185185185185185,10.2927459883112,0.4102891461073702,0.235803479840262,7614.619047619048,6882.0482636666775
baseline3_ml_risk_weighted_astar,compare,81,0.8518518518518519,10.249612966157933,0.30708062871818204,0.1771539626352634,5903.217391304348,19773.23320514497
baseline3_ml_risk_weighted_astar,main,81,0.8518518518518519,10.24121524798355,0.30636819977772195,0.18538247407690747,6063.275362318841,24137.9009597536
proposed_ml_risk_constrained_astar,compare,81,0.8271604938271605,10.131091023816671,0.33157383301990356,0.22552393429785897,663.4776119402985,836.8720509104321
proposed_ml_risk_constrained_astar,main,81,0.8641975308641975,10.140180756005462,0.33750105411745607,0.2330010587936391,632.2571428571429,943.1502946285623
