model_tag,auc_fail,recall_fail,f1_fail,mae_risk,infer_ms_per_sample,proxy_plan_success_rate,proxy_oracle_safe_rate,proxy_mean_length_ratio
pso,0.8683641862170088,0.7298387096774194,0.7327935222672065,0.16660217940807343,0.10332346633367706,0.7875,0.7875,1.0085470085470085
baseline,0.8657945381231672,0.7645161290322581,0.7388932190179267,0.16833889484405518,0.09124336566552908,0.95,0.95,1.0
