vehicle_id,terrain_class,method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
standard_offroad,lateral_slope,proposed_ml_risk_constrained_astar,main,3,1.0,10.135545226466713,0.48790261149406433,0.3266892079031717,673.0,659.1808410000036
standard_offroad,mixed_random,baseline1_2p5d_astar,none,3,1.0,10.260866235079495,0.0,0.0,432.6666666666667,9.467730333502308
standard_offroad,mixed_random,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
standard_offroad,mixed_random,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.505864627999475,0.5628136396408081,0.2898936726706886,7473.0,20282.060693000403
standard_offroad,mixed_random,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.375841433487077,0.5555519759654999,0.31991665445722517,8002.5,42846.394464000245
standard_offroad,mixed_random,proposed_ml_risk_constrained_astar,compare,3,0.3333333333333333,10.332971887412404,0.563796877861023,0.45230270952173796,1544.0,2332.7630989997488
standard_offroad,mixed_random,proposed_ml_risk_constrained_astar,main,3,0.6666666666666666,10.284678408025258,0.5507875084877014,0.40736041932449985,1102.0,1916.1694314998385
standard_offroad,pits,baseline1_2p5d_astar,none,3,1.0,10.054104035302409,0.0,0.0,127.0,2.757369999775013
standard_offroad,pits,baseline2_manual_risk_weighted_astar,none,3,1.0,10.309976985549953,0.3989385174927376,0.28076939098508635,10781.0,11513.86799799987
standard_offroad,pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.191723675051508,0.17195352911949158,0.1032648673383535,4705.0,16138.296810999993
standard_offroad,pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.202113511686946,0.19407083094120026,0.11619164279614852,5189.0,19188.505351333486
standard_offroad,pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.054104035302409,0.23546909292538962,0.13192409831517632,271.6666666666667,497.1590483332875
standard_offroad,pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.054104035302409,0.233566885193189,0.1461593331729872,264.0,598.2854980000715
standard_offroad,slope_bumps,baseline1_2p5d_astar,none,3,1.0,10.20703154003573,0.0,0.0,354.3333333333333,9.264519000074264
standard_offroad,slope_bumps,baseline2_manual_risk_weighted_astar,none,3,0.3333333333333333,10.659199142490289,0.8792585962762436,0.46517367876028864,11382.0,18956.746593999924
standard_offroad,slope_bumps,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.403957209545956,0.49546991288661957,0.28031498147560924,8501.5,33379.475101000025
