id,edge,path_max,path_avg,n,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_mean,time_ms_mean
1,0.7,0.9,0.486,81,0.8641975308641975,nan,nan,nan,546.4938271604939,2031.2315841605437
2,0.6,0.85,0.4,81,0.6666666666666666,nan,nan,nan,346.5061728395062,419.8170164073743
3,0.55,0.82,0.36,81,0.6296296296296297,nan,nan,nan,269.5925925925926,348.78742408640124
4,0.5,0.8,0.33,81,0.5555555555555556,nan,nan,nan,176.07407407407408,233.31106435805984
5,0.45,0.78,0.3,81,0.5308641975308642,nan,nan,nan,166.46913580246914,210.4312725308167
6,0.4,0.75,0.27,81,0.48148148148148145,nan,nan,nan,214.34567901234567,225.61889428394397
